tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt22489120,movie,La Lucha: Getting Schooled in America,La Lucha: Getting Schooled in America,0,2023,\N,80,Documentary,9.9,62
tt21987706,movie,Dancing with Mom,Dancing with Mom,0,2022,\N,76,Documentary,9.7,69
tt9032398,movie,The Fire Cats,The Fire Cats: Save Something Small,0,2022,\N,80,Documentary,9.7,79
tt10703554,movie,The Book of Harth,The Book of Harth,0,2022,\N,62,Documentary,9.6,58
tt21062574,movie,Battle of Amritsar,Battle of Amritsar,0,2022,\N,156,Documentary,9.6,60
tt10218112,movie,Courageous Warriors Beauty from the Ashes,Courageous Warriors Beauty from the Ashes,0,2021,\N,91,Documentary,9.5,51
tt21110404,movie,Breaking la Vida,Breaking la Vida,0,2022,\N,93,Documentary,9.5,60
tt19879476,movie,War Dogs and I,War Dogs and I,0,2022,\N,60,Documentary,9.5,89
tt32250502,movie,The Years We Have Been Nowhere,The Years We Have Been Nowhere,0,2023,\N,80,Documentary,9.5,87
tt27133532,movie,Ambatukam: The Rise and Fall of Dreamybull,Ambatukam: The Rise and Fall of Dreamybull,0,2023,\N,45,Documentary,9.5,75
tt21922506,movie,Topeng Bramacorah dan Media Sosial,Topeng Bramacorah dan Media Sosial,0,2021,\N,93,Comedy,9.5,61
tt12370388,movie,Stamps Back,Stamps Back,0,2022,\N,\N,Documentary,9.4,61
tt11368534,movie,Junho,Junho,0,2021,\N,104,Drama,9.4,52
tt22986206,movie,Nariti: Romansa Danau Toba,Nariti: Romansa Danau Toba,0,2022,\N,85,Drama,9.4,73
tt26742972,movie,Kenyatta: Do Not Wait Your Turn,Kenyatta: Do Not Wait Your Turn,0,2023,\N,92,Documentary,9.4,54
tt26099504,movie,Galang,Galang,0,2022,\N,106,Drama,9.4,76
tt29607530,movie,Lucky Draw 777,Lucky Draw 777,0,2023,\N,105,Comedy,9.4,77
tt15134118,movie,Ayaanle,Ayaanle,0,2022,\N,95,Drama,9.3,86
tt14202596,movie,Jaimen Hudson: From Sky to Sea,Jaimen Hudson: From Sky to Sea,0,2021,\N,90,Documentary,9.3,70
tt23049890,movie,Theodore Ushev: Unseen Connections,Theodore Ushev: Unseen Connections,0,2022,\N,77,Documentary,9.3,62
tt30387544,movie,Plagiarism and You(Tube),Plagiarism and You(Tube),0,2023,\N,231,Documentary,9.3,67
tt31021353,movie,The Shoshani Riddle,The Shoshani Riddle,0,2023,\N,88,Documentary,9.3,85
tt22797186,movie,Ghasjomi (Grassland),Ghasjomi (Grassland),0,2022,\N,112,Drama,9.3,58
tt11350286,movie,Khökhö,Khökhö,0,2021,\N,124,Drama,9.2,85
tt1056128,movie,Shut Up and Ride,Shut Up and Ride,0,2022,\N,93,Documentary,9.2,50
tt13267142,movie,Natura Umana,Natura Umana,0,2021,\N,139,Documentary,9.2,82
tt17632676,movie,Samadhi Part 3: The Pathless Path,Samadhi Part 3: The Pathless Path,0,2021,\N,\N,Documentary,9.2,77
tt22696258,movie,Anur: Eyes on the sunshine,Anur: Eyes on the sunshine,0,2023,\N,162,Drama,9.2,52
tt24518066,movie,ROBLOX_OOF.mp3,ROBLOX_OOF.mp3,0,2022,\N,118,Documentary,9.2,74
tt27349262,movie,Aura,Aura,0,2023,\N,129,Drama,9.2,61
tt4971262,movie,Road King,Road King,0,2023,\N,100,Drama,9.2,85
tt6714754,movie,The Monster Inside Me,The Monster Inside Me,0,2022,\N,147,Documentary,9.2,71
tt12708250,movie,Brand Bollywood,Brand Bollywood,0,2023,\N,93,Documentary,9.1,53
tt1787125,movie,Four Winters: A Story of Jewish Partisan Resistance and Bravery in WW2,Four Winters,0,2022,\N,90,Documentary,9.1,61
tt14356054,movie,Take My Breath,Take My Breath,0,2023,\N,96,Drama,9.1,79
tt14831476,movie,Act of Union,Act of Union,0,2021,\N,85,Documentary,9.1,55
tt17350188,movie,Dhoop chhaon,Dhoop chhaon,0,2022,\N,136,Drama,9.1,88
tt15567346,movie,Re-Opening,Re-Opening,0,2023,\N,90,Comedy,9.1,53
tt21412678,movie,Born Cursed,Born Cursed,0,2022,\N,84,Drama,9.1,66
tt24578916,movie,Buying Her,Buying Her,0,2022,\N,61,Documentary,9.1,70
tt23788650,movie,Bancoco,Bancoco,0,2023,\N,64,Documentary,9.1,54
tt11633840,movie,Bottle Conditioned,Bottle Conditioned,0,2023,\N,82,Documentary,9.0,57
tt14849318,movie,Dihadi,Dihadi,0,2021,\N,87,Drama,9.0,81
tt26863487,movie,Ketilebi in Cinema,Ketilebi in Cinema,0,2023,\N,\N,Comedy,9.0,88
tt21995320,movie,Invisible America,Invisible America,0,2023,\N,\N,Drama,9.0,57
tt11496160,movie,Rekindling,Rekindling,0,2022,\N,89,Drama,8.9,55
tt21223154,movie,Naar Ka Sur,Naar Ka Sur,0,2022,\N,125,Drama,8.9,71
tt19796632,movie,The Cave of Adullam,The Cave of Adullam,0,2022,\N,94,Documentary,8.9,62
tt14747784,movie,Pazhagiya Naatkal,Pazhagiya Naatkal,0,2021,\N,127,Drama,8.9,70
tt21065336,movie,Dickie V,Dickie V,0,2022,\N,80,Documentary,8.9,81
tt2551628,movie,Sweetheart Deal,Sweetheart Deal,0,2022,\N,99,Documentary,8.9,59
tt25399162,movie,Social Mandiya,Social Mandiya,0,2021,\N,100,Comedy,8.9,82
tt27162426,movie,Trip for Five with Healthy Smiles,Trip for Five with Healthy Smiles,0,2023,\N,50,Comedy,8.9,78
tt28703475,tvMovie,The Platypus Guardian,The Platypus Guardian,0,2023,\N,52,Documentary,8.9,64
tt3891720,movie,The Performance,The Performance,0,2023,\N,113,Drama,8.9,70
tt9280556,movie,Milyon Dolarlik Afis,Milyon Dolarlik Afis,0,2022,\N,132,Documentary,8.9,77
tt13009266,movie,Jivan Aakhyan,Jivan Aakhyan,0,2021,\N,148,Drama,8.8,77
tt14142932,movie,Nimmuru,Nimmuru,0,2021,\N,159,Drama,8.8,90
tt10262784,movie,Heaven Stood Still: The Incarnations of Willy DeVille,Heaven Stood Still: The Incarnations of Willy DeVille,0,2022,\N,87,Documentary,8.8,52
tt15086352,movie,The Art of Grieving,The Art of Grieving,0,2022,\N,70,Documentary,8.8,56
tt21115032,movie,Not A Tame Lion,Not A Tame Lion,0,2022,\N,119,Documentary,8.8,60
tt15262464,movie,Love Yourself Today,Love Yourself Today,0,2021,\N,80,Documentary,8.8,57
tt15558350,movie,This Is How We Roll,This Is How We Roll,0,2021,\N,80,Documentary,8.8,64
tt18981330,movie,Solgun Agaçlar Altinda,Solgun Agaçlar Altinda,0,2022,\N,84,Drama,8.8,74
tt18548634,movie,State of the Unity,State of the Unity,0,2022,\N,88,Documentary,8.8,62
tt23927510,movie,Vidura B.R. - Monsoon Season,Vidura B.R. - Monsoon Season,0,2022,\N,54,Comedy,8.8,59
tt23643170,movie,Lakka Jawan,Lakka Jawan,0,2022,\N,\N,Comedy,8.8,65
tt23039430,movie,Kon Parka Kon Potana,Kon Parka Kon Potana,0,2022,\N,\N,Drama,8.8,56
tt11782684,movie,Convalescent,Convaleciente,0,2021,\N,108,Drama,8.7,72
