tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,target,features
tt10022782,movie,Everything I Ever Wanted to Tell My Daughter About Men,Everything I Ever Wanted to Tell My Daughter About Men,0,2021,\N,88.0,Drama,6.0,77,0,"[77.0,0.0,2021.0,88.0]"
tt10064134,movie,The Reunion,The Reunion,0,2022,\N,85.0,Drama,4.1,74,0,"[74.0,0.0,2022.0,85.0]"
tt10100196,movie,You Mean Everything to Me,You Mean Everything to Me,0,2021,\N,88.0,Drama,5.7,73,0,"[73.0,0.0,2021.0,88.0]"
tt10102080,movie,Range Roads,Range Roads,0,2021,\N,86.0,Drama,6.5,89,0,"[89.0,0.0,2021.0,86.0]"
tt10134812,movie,Let Me Be Me,Let Me Be Me,0,2021,\N,75.0,Documentary,6.3,53,0,"[53.0,0.0,2021.0,75.0]"
tt10196568,movie,On the Divide,On the Divide,0,2021,\N,79.0,Documentary,8.6,69,1,"[69.0,0.0,2021.0,79.0]"
tt10241130,movie,Teen Paayancha Ghoda,Three Legged Horse,0,2023,\N,116.0,Drama,8.1,54,1,"[54.0,0.0,2023.0,116.0]"
tt10262784,movie,Heaven Stood Still: The Incarnations of Willy DeVille,Heaven Stood Still: The Incarnations of Willy DeVille,0,2022,\N,87.0,Documentary,8.8,52,1,"[52.0,0.0,2022.0,87.0]"
tt10271638,movie,What Went Wrong?,¿Qué hicimos mal?,0,2021,\N,79.0,Drama,5.5,90,0,"[90.0,0.0,2021.0,79.0]"
tt10345346,movie,Lluvia,Lluvia,0,2023,\N,80.0,Drama,5.9,60,0,"[60.0,0.0,2023.0,80.0]"
tt10358566,movie,Loren & Rose,Loren & Rose,0,2022,\N,83.0,Drama,7.5,61,0,"[61.0,0.0,2022.0,83.0]"
tt10378492,movie,Uncharitable,Uncharitable,0,2023,\N,90.0,Documentary,8.4,51,1,"[51.0,0.0,2023.0,90.0]"
tt10407144,movie,Mama Bears,Mama Bears,0,2022,\N,90.0,Documentary,7.7,85,1,"[85.0,0.0,2022.0,90.0]"
tt10407924,movie,Dissonantes,Dissonantes,0,2022,\N,95.0,Comedy,6.1,55,0,"[55.0,0.0,2022.0,95.0]"
tt10430844,movie,Honest to God,Honest to God,0,2022,\N,118.0,Comedy,4.8,84,0,"[84.0,0.0,2022.0,118.0]"
tt10450832,movie,Jack London's Martin Eden,Martin Eden,0,2021,\N,103.0,Drama,7.4,75,0,"[75.0,0.0,2021.0,103.0]"
tt10466340,movie,Me casé con un idiota,Me casé con un idiota,0,2022,\N,120.0,Comedy,5.1,73,0,"[73.0,0.0,2022.0,120.0]"
tt10471376,movie,Girls Don't Cry,Le ragazze non piangono,0,2022,\N,105.0,Drama,6.8,88,0,"[88.0,0.0,2022.0,105.0]"
tt10504026,movie,Women in Black,Women in Black,0,2023,\N,112.0,Comedy,7.1,59,0,"[59.0,0.0,2023.0,112.0]"
tt10536638,movie,Stand Up,Stand Up,0,2021,\N,89.0,Comedy,6.4,65,0,"[65.0,0.0,2021.0,89.0]"
tt1056128,movie,Shut Up and Ride,Shut Up and Ride,0,2022,\N,93.0,Documentary,9.2,50,1,"[50.0,0.0,2022.0,93.0]"
tt10583596,movie,Skin of Glass,Skin of Glass,0,2023,\N,90.0,Documentary,7.8,66,1,"[66.0,0.0,2023.0,90.0]"
